,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Long Term Capital Lease Obligation,2757000000.0,2546000000.0,2583000000.0,2568000000.0,2476000000.0,,
Long Term Debt,52980000000.0,52929000000.0,54033000000.0,50121000000.0,48828000000.0,,
Long Term Provisions,,,,6916000000.0,,,
Current Liabilities,28853000000.0,29648000000.0,32397000000.0,34122000000.0,30606000000.0,,
Other Current Liabilities,,-1000000.0,-2000000.0,1000000.0,2000000.0,,1000000.0
Current Deferred Liabilities,12882000000.0,13643000000.0,14051000000.0,13451000000.0,11917000000.0,,
Current Deferred Revenue,12882000000.0,13643000000.0,14051000000.0,13451000000.0,11917000000.0,,
Current Debt And Capital Lease Obligation,4389000000.0,4364000000.0,6255000000.0,7246000000.0,7220000000.0,,
Current Capital Lease Obligation,790000000.0,762000000.0,784000000.0,820000000.0,807000000.0,,
Current Debt,3599000000.0,3602000000.0,5471000000.0,6426000000.0,6413000000.0,,
Other Current Borrowings,3599000000.0,3602000000.0,5471000000.0,6426000000.0,6413000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,3250000000.0,3125000000.0,3190000000.0,3501000000.0,3257000000.0,,
Payables And Accrued Expenses,8332000000.0,8517000000.0,8903000000.0,9923000000.0,8210000000.0,,
Current Accrued Expenses,3474000000.0,3195000000.0,3605000000.0,3521000000.0,3309000000.0,,
Payables,4858000000.0,5322000000.0,5298000000.0,6402000000.0,4901000000.0,,
Total Tax Payable,1584000000.0,1691000000.0,1710000000.0,2270000000.0,1559000000.0,,
Accounts Payable,3274000000.0,3631000000.0,3588000000.0,4132000000.0,3342000000.0,,
Total Assets,134339000000.0,133848000000.0,137169000000.0,135241000000.0,129321000000.0,,
Total Non Current Assets,103798000000.0,100548000000.0,100506000000.0,102332000000.0,101616000000.0,,
Other Non Current Assets,2009000000.0,1840000000.0,1678000000.0,1626000000.0,1582000000.0,,
Defined Pension Benefit,7975000000.0,7630000000.0,7545000000.0,7506000000.0,8901000000.0,,
Non Current Prepaid Assets,,,7545000000.0,7506000000.0,8901000000.0,8735000000.0,8487000000.0
Non Current Deferred Assets,7731000000.0,7198000000.0,7275000000.0,7498000000.0,6990000000.0,,
Non Current Deferred Taxes Assets,6943000000.0,6378000000.0,6465000000.0,6656000000.0,6168000000.0,,
Non Current Accounts Receivable,4931000000.0,5483000000.0,4927000000.0,5766000000.0,4789000000.0,,
Investments And Advances,,,,,,1585000000.0,1607000000.0
Other Investments,,,,,,1585000000.0,1607000000.0
Goodwill And Other Intangible Assets,72183000000.0,69667000000.0,70283000000.0,71214000000.0,70873000000.0,,
Other Intangible Assets,11091000000.0,10251000000.0,10749000000.0,11036000000.0,11277000000.0,,
Goodwill,61092000000.0,59416000000.0,59534000000.0,60178000000.0,59596000000.0,,
Net PPE,8969000000.0,8730000000.0,8798000000.0,8722000000.0,8481000000.0,,
Accumulated Depreciation,-12380000000.0,-12311000000.0,-12477000000.0,-12621000000.0,-12848000000.0,,
Gross PPE,21349000000.0,21041000000.0,21275000000.0,21343000000.0,21329000000.0,,
Other Properties,21349000000.0,21041000000.0,21275000000.0,6605000000.0,21329000000.0,,
Machinery Furniture Equipment,,,,9223000000.0,,,
Buildings And Improvements,,,,5333000000.0,,,
Land And Improvements,,,,182000000.0,,,
Properties,,,,0.0,,,
Current Assets,30543000000.0,33299000000.0,36663000000.0,32908000000.0,27705000000.0,,
Other Current Assets,2408000000.0,2785000000.0,2805000000.0,2639000000.0,2581000000.0,,
Assets Held For Sale Current,509000000.0,723000000.0,644000000.0,692000000.0,593000000.0,,
Current Deferred Assets,966000000.0,997000000.0,1047000000.0,998000000.0,931000000.0,,
Restricted Cash,17000000.0,2268000000.0,162000000.0,21000000.0,19000000.0,,
Inventory,1367000000.0,1234000000.0,1212000000.0,1161000000.0,1399000000.0,,
Other Inventories,-1000000.0,,,,1000000.0,,
Finished Goods,169000000.0,141000000.0,131000000.0,78000000.0,159000000.0,,
Work In Process,1199000000.0,1093000000.0,1081000000.0,1083000000.0,1239000000.0,,
Receivables,11574000000.0,11601000000.0,11678000000.0,13956000000.0,11204000000.0,,
Other Receivables,6184000000.0,5832000000.0,5637000000.0,6742000000.0,5874000000.0,,
Accounts Receivable,5390000000.0,5769000000.0,6041000000.0,7214000000.0,5330000000.0,,
Allowance For Doubtful Accounts Receivable,-132000000.0,-129000000.0,-152000000.0,-192000000.0,-198000000.0,,
Gross Accounts Receivable,5522000000.0,5898000000.0,6193000000.0,7406000000.0,5528000000.0,,
Cash Cash Equivalents And Short Term Investments,13702000000.0,13691000000.0,19115000000.0,13441000000.0,10978000000.0,,
Other Short Term Investments,505000000.0,1481000000.0,4512000000.0,373000000.0,3721000000.0,,
Cash And Cash Equivalents,13197000000.0,12210000000.0,14603000000.0,13068000000.0,7257000000.0,,
